# buffsize	real	user	sys
	1	 0.01	0.00	0.01
	2	 0.02	0.00	0.01
	4	 0.01	0.00	0.01
	8	 0.01	0.00	0.01
	16	 0.01	0.00	0.01
	32	 0.01	0.00	0.01
	64	 0.01	0.00	0.01
	128	 0.01	0.00	0.01
	256	 0.01	0.00	0.01
	512	 0.01	0.00	0.01
	1024	 0.01	0.00	0.01
	2048	 0.01	0.00	0.01
	4096	 0.01	0.00	0.01
	8192	 0.01	0.00	0.01
	16384	 0.01	0.00	0.01
	32768	 0.02	0.00	0.01
	65536	 0.01	0.00	0.01
	131072	 0.01	0.00	0.01
	262144	 0.01	0.00	0.01
	524288	 0.01	0.00	0.01
	1048576	 0.01	0.00	0.01
	2097152	 0.01	0.00	0.01
	4194304	 0.01	0.00	0.01
	8388608	 0.01	0.00	0.01
